SPACEPORT_REC_ID,SPACEPORT_NAME,NOTAM_REC_ID
2,Cape Canaveral Air Force Station,216199
2,Cape Canaveral Air Force Station,216200
2,Cape Canaveral Air Force Station,216210
2,Cape Canaveral Air Force Station,216250
2,Cape Canaveral Air Force Station,216251
2,Cape Canaveral Air Force Station,216278
2,Cape Canaveral Air Force Station,216279
2,Cape Canaveral Air Force Station,218092
2,Cape Canaveral Air Force Station,218093
2,Cape Canaveral Air Force Station,219971
2,Cape Canaveral Air Force Station,219972
2,Cape Canaveral Air Force Station,219973
2,Cape Canaveral Air Force Station,219978
2,Cape Canaveral Air Force Station,219979
2,Cape Canaveral Air Force Station,219980
2,Cape Canaveral Air Force Station,219981
2,Cape Canaveral Air Force Station,219986
2,Cape Canaveral Air Force Station,219990
2,Cape Canaveral Air Force Station,219992
2,Cape Canaveral Air Force Station,219994
2,Cape Canaveral Air Force Station,219999
2,Cape Canaveral Air Force Station,220000
2,Cape Canaveral Air Force Station,220001
2,Cape Canaveral Air Force Station,220002
2,Cape Canaveral Air Force Station,220007
2,Cape Canaveral Air Force Station,220286
2,Cape Canaveral Air Force Station,220287
2,Cape Canaveral Air Force Station,220426
2,Cape Canaveral Air Force Station,220427
2,Cape Canaveral Air Force Station,220436
2,Cape Canaveral Air Force Station,220438
2,Cape Canaveral Air Force Station,220441
2,Cape Canaveral Air Force Station,220442
2,Cape Canaveral Air Force Station,220443
2,Cape Canaveral Air Force Station,220450
2,Cape Canaveral Air Force Station,220454
2,Cape Canaveral Air Force Station,220456
2,Cape Canaveral Air Force Station,220458
2,Cape Canaveral Air Force Station,220463
2,Cape Canaveral Air Force Station,220464
2,Cape Canaveral Air Force Station,220465
2,Cape Canaveral Air Force Station,220481
2,Cape Canaveral Air Force Station,220482
2,Cape Canaveral Air Force Station,220485
2,Cape Canaveral Air Force Station,220507
2,Cape Canaveral Air Force Station,220508
2,Cape Canaveral Air Force Station,220511
2,Cape Canaveral Air Force Station,220512
2,Cape Canaveral Air Force Station,220513
2,Cape Canaveral Air Force Station,220518
2,Cape Canaveral Air Force Station,220519
2,Cape Canaveral Air Force Station,220520
2,Cape Canaveral Air Force Station,220523
2,Cape Canaveral Air Force Station,220525
2,Cape Canaveral Air Force Station,220526
2,Cape Canaveral Air Force Station,220533
2,Cape Canaveral Air Force Station,220535
2,Cape Canaveral Air Force Station,220536
2,Cape Canaveral Air Force Station,220538
2,Cape Canaveral Air Force Station,224457
2,Cape Canaveral Air Force Station,224807
2,Cape Canaveral Air Force Station,224821
2,Cape Canaveral Air Force Station,224895
2,Cape Canaveral Air Force Station,224896
2,Cape Canaveral Air Force Station,225012
